name,area (um),power (mW),delay (ps),slack (ps),clock (ps)
sbox_full_lut,190.505,2.54307e+00,50,0,50
sbox_full_lut,150.185,9.97521e-01,75,0,75
sbox_full_lut,144.961,8.58117e-01,98,2,100
sbox_full_lut,142.018,6.86525e-01,104,21,125
sbox_full_lut,142.684,5.72510e-01,105,45,150
sbox_full_lut,142.684,4.92385e-01,105,70,175
sbox_full_lut,142.684,4.32282e-01,105,95,200
sbox_full_lut,142.684,3.85544e-01,105,120,225
sbox_full_lut,142.684,3.48153e-01,105,145,250
sbox_full_lut,142.684,3.17561e-01,105,170,275
sbox_full_lut,142.684,2.92067e-01,105,195,300
sbox_full_lut,142.684,2.70496e-01,105,220,325
sbox_full_lut,142.684,2.52006e-01,105,245,350
sbox_full_lut,142.684,2.35981e-01,105,270,375
sbox_full_lut,142.684,2.21959e-01,105,295,400
sbox_full_lut,142.684,2.09588e-01,105,320,425
sbox_full_lut,144.047,2.04171e-01,100,350,450
sbox_full_lut,142.395,1.95587e-01,105,370,475
sbox_full_lut,142.300,1.97839e-01,120,380,500
sbox_inv_lut,183.201,2.23260e+00,75,0,75
sbox_inv_lut,181.401,2.22056e+00,99,1,100
sbox_inv_lut,181.205,1.78057e+00,124,1,125
sbox_inv_lut,125.633,1.94441e+00,150,0,150
sbox_inv_lut,99.632,8.48749e-01,166,9,175
sbox_inv_lut,98.834,7.44568e-01,162,38,200
sbox_inv_lut,98.834,6.62607e-01,162,64,225
sbox_inv_lut,98.712,5.99156e-01,162,88,250
sbox_inv_lut,98.712,5.45318e-01,162,113,275
sbox_inv_lut,98.712,5.00452e-01,162,138,300
sbox_inv_lut,98.712,4.62490e-01,162,163,325
sbox_inv_lut,98.712,4.29950e-01,162,188,350
sbox_inv_lut,98.712,4.01749e-01,162,213,375
sbox_inv_lut,98.712,3.77074e-01,162,238,400
sbox_inv_lut,98.712,3.55301e-01,162,263,425
sbox_inv_lut,98.712,3.35947e-01,162,288,450
sbox_inv_lut,98.712,3.18631e-01,162,313,475
sbox_inv_lut,100.220,2.99488e-01,166,334,500
sbox_canright,37.393,1.35193e+00,175,0,175
sbox_canright,31.765,1.14408e+00,195,5,200
sbox_canright,30.908,1.11348e+00,207,18,225
sbox_canright,30.353,9.95688e-01,226,24,250
sbox_canright,30.309,9.59347e-01,227,48,275
sbox_canright,30.309,9.30985e-01,227,73,300
sbox_canright,30.309,9.04088e-01,227,98,325
sbox_canright,30.309,8.80934e-01,227,123,350
sbox_canright,30.333,8.63183e-01,224,151,375
sbox_canright,30.333,8.44255e-01,224,176,400
sbox_canright,30.333,8.27496e-01,224,201,425
sbox_canright,30.333,8.11460e-01,224,226,450
sbox_canright,30.333,7.92893e-01,224,251,475
sbox_canright,30.333,7.74773e-01,224,276,500
sbox_depth16,95.842,3.39017e+00,125,0,125
sbox_depth16,53.750,1.77799e+00,150,0,150
sbox_depth16,46.853,1.48367e+00,175,0,175
sbox_depth16,45.967,1.37226e+00,189,11,200
sbox_depth16,45.484,1.30090e+00,190,36,225
sbox_depth16,45.057,1.22693e+00,192,58,250
sbox_depth16,45.057,1.17811e+00,192,83,275
sbox_depth16,45.057,1.13176e+00,192,108,300
sbox_depth16,45.337,1.08972e+00,193,132,325
sbox_depth16,45.337,1.04806e+00,193,157,350
sbox_depth16,45.337,1.00517e+00,193,182,375
sbox_depth16,45.337,9.60269e-01,193,207,400
sbox_depth16,45.337,9.19078e-01,193,232,425
sbox_depth16,45.337,8.82395e-01,193,257,450
sbox_depth16,45.337,8.44797e-01,193,282,475
sbox_depth16,45.337,8.08370e-01,193,307,500
sbox_new_area,45.256,1.66955e+00,150,0,150
sbox_new_area,33.453,1.19436e+00,175,0,175
sbox_new_area,28.293,1.02702e+00,198,2,200
sbox_new_area,28.215,9.91052e-01,205,20,225
sbox_new_area,27.931,9.44147e-01,208,42,250
sbox_new_area,27.931,9.08244e-01,208,67,275
sbox_new_area,27.931,8.76768e-01,208,92,300
sbox_new_area,27.931,8.48758e-01,208,117,325
sbox_new_area,27.961,8.22076e-01,205,145,350
sbox_new_area,27.961,7.95755e-01,205,170,375
sbox_new_area,27.961,7.68529e-01,205,195,400
sbox_new_area,27.961,7.41407e-01,205,220,425
sbox_new_area,27.961,7.18522e-01,205,245,450
sbox_new_area,27.961,6.95362e-01,205,270,475
sbox_new_area,27.961,6.71247e-01,205,295,500
sbox_maximov,46.043,1.92225e+00,100,0,100
sbox_maximov,36.211,1.41171e+00,124,2,125
sbox_maximov,35.821,1.27335e+00,147,3,150
sbox_maximov,36.062,1.16360e+00,145,30,175
sbox_maximov,36.062,1.07026e+00,145,55,200
sbox_maximov,36.062,9.92979e-01,145,80,225
sbox_maximov,36.131,9.17365e-01,152,98,250
sbox_maximov,36.131,8.42440e-01,152,123,275
sbox_maximov,36.131,7.77762e-01,152,148,300
sbox_maximov,36.131,7.21391e-01,152,173,325
sbox_maximov,36.131,6.72134e-01,152,198,350
sbox_maximov,36.131,6.28392e-01,152,223,375
sbox_maximov,36.131,5.89850e-01,152,248,400
sbox_maximov,36.131,5.55842e-01,152,273,425
sbox_maximov,36.131,5.25222e-01,152,298,450
sbox_maximov,36.131,4.97758e-01,152,323,475
sbox_maximov,36.131,4.73041e-01,152,348,500
sbox_bdd,159.929,3.44067e+00,50,0,50
sbox_bdd,142.490,3.03723e+00,75,0,75
sbox_bdd,139.875,2.90752e+00,99,1,100
sbox_bdd,140.229,2.34078e+00,122,2,125
sbox_bdd,140.192,1.96356e+00,141,9,150
sbox_bdd,140.168,1.69499e+00,150,25,175
sbox_bdd,140.168,1.48415e+00,150,50,200
sbox_bdd,140.168,1.32016e+00,150,75,225
sbox_bdd,140.168,1.18897e+00,150,100,250
sbox_bdd,140.168,1.08163e+00,150,125,275
sbox_bdd,140.168,9.92178e-01,150,150,300
sbox_bdd,140.168,9.16490e-01,150,175,325
sbox_bdd,140.168,8.51615e-01,150,200,350
sbox_bdd,140.168,7.95389e-01,150,225,375
sbox_bdd,140.168,7.46192e-01,150,250,400
sbox_bdd,140.168,7.02783e-01,150,275,425
sbox_bdd,139.086,6.66445e-01,146,304,450
sbox_bdd,137.521,6.36850e-01,161,314,475
sbox_bdd,135.325,5.98983e-01,150,350,500
sbox_pprm,71.004,2.50334e+00,175,0,175
sbox_pprm,55.597,1.85505e+00,200,0,200
sbox_pprm,52.064,1.75210e+00,218,7,225
sbox_pprm,48.190,1.52986e+00,249,1,250
sbox_pprm,47.579,1.52133e+00,273,2,275
sbox_pprm,47.487,1.45198e+00,264,36,300
sbox_pprm,47.487,1.40608e+00,264,61,325
sbox_pprm,47.487,1.36575e+00,264,86,350
sbox_pprm,47.487,1.32985e+00,264,111,375
sbox_pprm,47.476,1.30713e+00,263,137,400
sbox_pprm,47.476,1.27296e+00,263,162,425
sbox_pprm,47.476,1.24224e+00,263,187,450
sbox_pprm,47.476,1.21219e+00,263,212,475
sbox_pprm,47.476,1.18081e+00,263,237,500
sbox_canright_masked,118.625,3.61332e+00,250,0,250
sbox_canright_masked,100.390,2.97589e+00,275,0,275
sbox_canright_masked,90.704,2.70481e+00,300,0,300
sbox_canright_masked,77.515,2.17372e+00,280,45,325
sbox_canright_masked,77.515,2.10811e+00,280,70,350
sbox_canright_masked,77.515,2.05105e+00,280,95,375
sbox_canright_masked,77.515,1.99976e+00,280,120,400
sbox_canright_masked,77.569,1.96547e+00,280,145,425
sbox_canright_masked,77.569,1.92490e+00,280,170,450
sbox_canright_masked,77.569,1.88739e+00,280,195,475
sbox_canright_masked,77.598,1.85188e+00,281,219,500
sbox_dom1,210.257,1.25657e+01,67,0,75
sbox_dom1,197.084,1.32275e+01,91,1,100
sbox_dom1,194.067,1.05525e+01,102,15,125
sbox_dom1,194.264,8.79033e+00,102,40,150
sbox_dom1,193.191,7.51406e+00,104,63,175
sbox_dom1,193.191,6.57747e+00,104,88,200
sbox_dom1,193.191,5.84901e+00,104,113,225
sbox_dom1,193.191,5.26625e+00,104,138,250
sbox_dom1,193.191,4.78944e+00,104,163,275
sbox_dom1,193.191,4.39209e+00,104,188,300
sbox_dom1,193.191,4.05588e+00,104,213,325
sbox_dom1,193.191,3.76770e+00,104,238,350
sbox_dom1,193.191,3.51794e+00,104,263,375
sbox_dom1,193.191,3.29940e+00,104,288,400
sbox_dom1,193.191,3.10658e+00,104,313,425
sbox_dom1,193.191,2.93517e+00,104,338,450
sbox_dom1,193.191,2.78181e+00,104,363,475
sbox_dom1,193.191,2.64379e+00,104,388,500
sbox_dom2,396.931,2.89261e+01,92,0,100
sbox_dom2,392.219,2.31208e+01,110,6,125
sbox_dom2,393.978,1.93598e+01,109,32,150
sbox_dom2,392.955,1.65313e+01,112,55,175
sbox_dom2,392.955,1.44702e+01,112,80,200
sbox_dom2,392.955,1.28465e+01,112,105,225
sbox_dom2,392.955,1.15661e+01,112,130,250
sbox_dom2,392.955,1.05186e+01,112,155,275
sbox_dom2,392.955,9.64562e+00,112,180,300
sbox_dom2,392.955,8.90697e+00,112,205,325
sbox_dom2,392.955,8.27383e+00,112,230,350
sbox_dom2,392.955,7.72512e+00,112,255,375
sbox_dom2,392.955,7.24499e+00,112,280,400
sbox_dom2,392.955,6.82135e+00,112,305,425
sbox_dom2,392.955,6.44478e+00,112,330,450
sbox_dom2,392.955,6.10785e+00,112,355,475
sbox_dom2,392.955,5.80461e+00,112,380,500
sbox_nullfresh,265.116,1.55304e+01,67,0,75
sbox_nullfresh,251.053,1.56333e+01,92,0,100
sbox_nullfresh,250.966,1.26664e+01,95,22,125
sbox_nullfresh,250.966,1.05452e+01,95,47,150
sbox_nullfresh,250.966,9.04236e+00,95,72,175
sbox_nullfresh,250.966,7.91230e+00,95,97,200
sbox_nullfresh,250.966,7.03957e+00,95,122,225
sbox_nullfresh,250.966,6.33816e+00,95,147,250
sbox_nullfresh,250.966,5.76428e+00,95,172,275
sbox_nullfresh,250.966,5.28605e+00,95,197,300
sbox_nullfresh,250.966,4.88139e+00,95,222,325
sbox_nullfresh,250.966,4.53454e+00,95,247,350
sbox_nullfresh,250.966,4.23393e+00,95,272,375
sbox_nullfresh,250.966,3.97091e+00,95,297,400
sbox_nullfresh,250.966,3.73882e+00,95,322,425
sbox_nullfresh,251.105,3.56072e+00,95,347,450
sbox_nullfresh,251.166,3.37575e+00,95,372,475
sbox_nullfresh,251.166,3.20824e+00,95,397,500
sbox_sesym1,391.485,8.98004e+00,275,0,275
sbox_sesym1,345.367,6.85476e+00,300,0,300
sbox_sesym1,334.009,5.82363e+00,322,3,325
sbox_sesym1,334.009,5.41088e+00,322,28,350
sbox_sesym1,331.664,5.04694e+00,321,54,375
sbox_sesym1,330.492,4.73042e+00,322,78,400
sbox_sesym1,330.492,4.45406e+00,321,104,425
sbox_sesym1,330.296,4.20769e+00,323,127,450
sbox_sesym1,330.296,3.98810e+00,321,154,475
sbox_sesym1,330.296,3.78998e+00,320,180,500
sbox_sesym2,391.485,8.98004e+00,275,0,275
sbox_sesym2,345.367,6.85476e+00,300,0,300
sbox_sesym2,334.009,5.82363e+00,322,3,325
sbox_sesym2,334.009,5.41088e+00,322,28,350
sbox_sesym2,331.664,5.04694e+00,321,54,375
sbox_sesym2,330.492,4.73042e+00,322,78,400
sbox_sesym2,330.492,4.45406e+00,321,104,425
sbox_sesym2,330.296,4.20769e+00,323,127,450
sbox_sesym2,330.296,3.98810e+00,321,154,475
sbox_sesym2,330.296,3.78998e+00,320,180,500
