name,area (um),power (mW),delay (ps),slack (ps),clock (ps)
sbox_full_lut,142.652,1.47327e-01,164,586,750
sbox_inv_lut,96.964,2.54869e-01,220,530,750
sbox_canright,30.251,6.07557e-01,220,530,750
sbox_depth16,45.746,5.80382e-01,193,557,750
sbox_maximov,36.131,3.16498e-01,152,598,750
sbox_new_area,28.475,4.67345e-01,206,544,750
sbox_bdd,135.957,4.16012e-01,173,577,750
sbox_pprm,47.380,9.29951e-01,269,481,750
sbox_canright_masked,77.836,1.62024e+00,284,466,750
sbox_dom1,194.265,1.78027e+00,103,639,750
sbox_dom2,395.814,3.91141e+00,110,632,750 
sbox_nullfresh,251.166,2.14735e+00,95,647,750
sbox_sesym1,330.296,2.53312e+00,321,429,750
sbox_sesym2,716.862,5.42823e+00,493,257,750
